0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,0
0,0,0,0,223,56,74,1463,38,59,88,1120,197,14,884,6,28,8,18,77,61,126,50,32,2,4,59,152,6,22,156,1612,782,221,398,110,50,783,75,152,26,221,1029,132,653,27,388,9,230,4733,0
67,206,75,1502,8,110,1190,33,428,95,75,629,98,282,99,4109,228,1274,2724,1884,156,4109,2035,687,2724,2550,1419,1237,3668,35,748,681,122,190,630,2288,162,700,44,389,4109,35,1545,861,641,25,539,1162,2185,681,1
0,0,0,0,0,0,0,0,0,219,653,670,1775,2289,264,39,1420,48,2104,1191,2551,79,176,3669,306,84,4110,4,89,527,303,95,19,47,137,127,41,152,15,235,30,4,1,847,593,101,175,111,7362,140,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,485,166,37,150,762,737,3105,166,224,2036,209,256,3343,2552,333,268,518,38,14,145,57,566,554,1
41,8,336,78,3344,4,322,16,8,116,22,97,3671,56,110,3344,450,3672,497,116,55,78,8,67,145,269,588,2553,274,11,8,120,47,195,642,97,288,78,89,103,213,34,749,436,111,6,14,12,1384,213,1
0,0,0,0,0,0,0,0,0,0,0,152,1346,750,136,738,62,9,59,763,135,147,250,123,18,16,1,274,247,191,23,3673,1713,1776,492,3674,1885,3,36,750,136,5,7363,566,3106,162,61,38,13,5622,0
85,50,114,44,348,236,253,38,348,2401,146,94,356,848,45,88,2401,304,247,348,671,254,1095,184,134,1258,45,390,278,113,18,153,99,722,7,279,161,1777,581,297,75,348,534,1079,67,348,12,150,297,381,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,334,688,2402,78,2105,664,106,477,37,21,158,1109,103,11,43,44,122,1140,808,1
461,799,30,67,312,1347,2897,7365,799,279,11,357,30,11,19,119,7,3108,1347,2897,104,19,218,279,279,16,373,740,2726,5624,1826,3676,30,67,65,278,1886,3676,29,72,8,4734,25,7366,3107,29,8,220,130,1464,0
0,344,2037,225,369,1163,215,9,12,239,16,265,1318,1318,1080,307,208,9,522,33,1030,7367,16,707,224,325,221,2037,288,218,50,177,115,274,315,885,177,34,321,2727,10,3109,2,72,4,386,81,74,328,13,0
40,260,358,834,875,128,944,633,4735,232,875,106,58,1030,654,247,232,32,4735,296,425,522,632,25,7368,875,13,7,13,631,88,396,25,151,1030,32,2186,741,329,72,2403,1165,1778,1657,4112,3110,136,2187,202,50,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,44,4113,42,4111,1714,3,36,7369,722,50,233,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,38,159,88,155,5,663,379,1096,2188,849,19,1051,2404,77,8,1959,5625,440,373,372,567,147,153,4114,47,809,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,17,1715,2290,32,634,1716,316,4,179,32,10,448,1008,233,3,11,13,2,4,1
150,3678,3345,55,701,55,7371,1717,409,462,701,1827,4737,3668,3679,3111,419,1319,32,173,419,87,11,586,350,46,463,4115,70,764,3680,1276,450,3,36,2291,1320,1503,5626,118,945,899,4116,78,5,1320,187,514,345,1238,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,137,900,1828,106,157,48,21,3346,1321,15,1612,43,13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4117,10,180,1884,7372,3347,37,2,72,438,738,1424,708,7373,541,391,43,13,174,104,640,141,5627,27,486,1031,1
101,124,876,6,271,167,352,504,47,367,617,44,208,54,56,810,443,1718,4118,33,145,1142,5628,457,56,213,436,1081,154,380,2,1779,357,11,946,201,289,90,20,35,1010,145,168,180,329,125,28,6,6,160,1
0,0,0,0,0,0,0,0,0,1192,52,7,4119,230,7374,4119,3112,114,44,5,5,337,2405,24,1192,3681,694,330,800,1121,1347,257,200,1211,2106,1887,105,291,14,132,457,1658,8,55,3681,457,105,276,119,1,1
